id,tags
1600,Французская кухня
1600,Крем-суп
1601,Основные блюда
1601,Фрикадельки
1602,Супы
1602,Испанская кухня
1602,Крем-суп
1606,Супы
1606,Итальянская кухня
1609,Супы
1609,Французская кухня
1609,Крем-суп
1611,Выпечка и десерты
1611,Оладьи из кабачков
1611,Оладьи
1614,Основные блюда
1614,Итальянская кухня
1614,Запеканка
1615,Супы
1615,Веганская еда
1615,Крем-суп
1616,Паста и пицца
1616,Итальянская кухня
1618,Выпечка и десерты
1618,Творожные пироги
1618,Пироги
1623,Салаты
1626,Выпечка и десерты
1626,Печенье
1628,Выпечка и десерты
1628,Пироги
1629,Салаты
1629,Китайская кухня
1637,Салаты
1638,Супы
1638,Луковый суп
1639,Напитки
1639,Молочный коктейль
1639,Коктейли
1640,Выпечка и десерты
1640,Кексы
1641,Салаты
1641,Низкокалорийная еда
1641,Салаты с курицей
1643,Салаты
1643,Русская кухня
1643,Мимоза
1646,Выпечка и десерты
1646,Русская кухня
1646,Оладьи
1647,Основные блюда
1647,Французская кухня
1648,Основные блюда
1648,Кебаб
1648,Люля-кебаб
1651,Основные блюда
1652,Основные блюда
1652,Украинская кухня
1652,Вареники
1653,Выпечка и десерты
1653,Творожные запеканки
1653,Запеканка
1655,Основные блюда
1656,Основные блюда
1656,Вегетарианская еда
1659,Основные блюда
1659,Британская кухня
1659,Рыбные котлеты
1659,Котлеты
1669,Основные блюда
1680,Сэндвичи
1680,Жульен
1682,Закуски
1682,Греческая кухня
1682,Мусака
1683,Выпечка и десерты
1683,Французская кухня
1683,Киш
1683,Пироги
1684,Основные блюда
1684,Молдавская кухня
1684,Мамалыга
1685,Основные блюда
1685,Французская кухня
1685,Веганская еда
1685,Рататуй
1693,Выпечка и десерты
1693,Чизкейк
1695,Выпечка и десерты
1695,Пироги
1696,Выпечка и десерты
1696,Азербайджанская кухня
1696,Пахлава
1697,Выпечка и десерты
1697,Пироги
1700,Паста и пицца
1703,Основные блюда
1703,Запеканка
1709,Основные блюда
1709,Запеканка
1719,Основные блюда
1719,Пюре
1722,Пошаговые рецепты
1722,Завтраки
1722,Испанская кухня
1728,Завтраки
1728,Индийская кухня
1728,Молочный коктейль
1729,Салаты
1729,Авторская кухня
1729,Салаты с курицей
1730,Пошаговые рецепты
1730,Завтраки
1730,Французская кухня
1730,Омлет
1730,Круассаны
1731,Пошаговые рецепты
1731,Салаты
1731,Итальянская кухня
1732,Пошаговые рецепты
1732,Закуски
1732,Перуанская кухня
1732,Горячие закуски
1734,Завтраки
1734,Мексиканская кухня
1734,Яичница
1735,Пошаговые рецепты
1735,Завтраки
1735,Омлет
1742,Выпечка и десерты
1742,Авторская кухня
1742,Кексы
1745,Напитки
1745,Авторская кухня
1745,Лимонад
1757,Основные блюда
1757,Авторская кухня
1757,Веганская еда
1763,Выпечка и десерты
1763,Авторская кухня
1763,Тонкие блины
1763,Блины
1779,Основные блюда
1779,Авторская кухня
1782,Салаты
1782,Авторская кухня
1783,Основные блюда
