id,ingredients
245,Квашеная капуста
245,Пшеничная мука
245,Креветки
245,Топленое масло
245,Томатная паста
245,Зелень
245,Говяжий язык
245,Говяжье сердце
245,Говяжьи почки
245,Вымя
245,Мясные кости
245,Сливочное масло
245,Перец черный молотый
245,Вареная ветчина
245,Куриное филе
247,Говяжий фарш
247,Свиной фарш
247,Соль
247,Перец черный молотый
247,Пшеничная мука
247,Сметана
247,Растительное масло
247,Зелень
247,Баклажаны
247,Лук репчатый
247,Томатное пюре
247,Свежие грибы
247,Сыр
247,Сморчки
247,Рубленая петрушка
247,Сливочное масло
247,Яйцо куриное
247,Кабачки
247,Чеснок
253,Картофель
253,Белокочанная капуста
253,Чеснок
253,Сливочное масло
253,Растительное масло
253,Зелень
253,Соль
253,Перец черный молотый
253,Морковь
253,Молотый красный перец
253,Сахар
253,Лук репчатый
253,Помидоры
253,Томатная паста
253,Сладкий перец
253,Уксус 9%-ный
253,Красный сладкий перец
253,Яблочный уксус
253,Французская горчица
253,Баклажаны
253,Паприка
253,Вода
253,Цукини
253,Сладкая паприка
258,Куриные желудки
258,Картофель
258,Лук репчатый
258,Соль
258,Майонез
258,Перец черный молотый
258,Петрушка
258,Свежие грибы
258,Сметана
258,Растительное масло
258,Морковь
258,Квашеная капуста
258,Свинина
258,Шампиньоны
258,Сыр
258,Твердый сыр
258,Консервированная кукуруза
258,Куриное филе
260,Мясо
260,Лук репчатый
260,Белокочанная капуста
260,Коренья
260,Морковь
260,Растительное масло
260,Картофель
260,Вермишель
260,Соль
260,Лавровый лист
260,Горох
260,Петрушка
260,Помидоры
260,Пшеничная мука
260,Перец черный молотый
260,Яблоко
262,Мясо
262,Лук репчатый
262,Квашеная капуста
262,Коренья
262,Пшеничная мука
262,Сливочное масло
262,Томатное пюре
262,Картофель
262,Белокочанная капуста
262,Свекла
262,Сметана
262,Головизна осетровых рыб
262,Вода
262,Растительное масло
262,Зеленый горошек
262,Сливки
262,Яичный желток
262,Белый хлеб
262,Мясные продукты
262,Соленые огурцы
262,Каперсы
262,Помидоры
262,Яблоко
262,Морковь
262,Соль
262,Перец черный молотый
262,Белые грибы
268,Мясо
268,Свекла
268,Лук репчатый
268,Белокочанная капуста
268,Коренья
268,Томатное пюре
268,Уксус
268,Сахар
268,Картофель
268,Сметана
268,Сливочное масло
268,Мясной бульон
268,Свежие грибы
268,Соленые огурцы
268,Растительное масло
268,Панировочные сухари
268,Корень сельдерея
268,Корень петрушки
268,Петрушка
268,Вода
268,Томатная паста
268,Горох
268,Морковь
268,Бульонный кубик
268,Чеснок
268,Свежая кинза (кориандр)
268,Укроп
268,Мясо на кости
268,Соль
271,Вода
